date,newcases,newdeaths,totalcases,prevalence,incidence,incidence7d,deathrate
2020-02-26,1,0,0.000473823614421,0.000473823614421,0.000473823614421,0,0
2020-02-27,0,0,0.000473823614421,0.000473823614421,0,0,0
2020-02-28,0,0,0.000473823614421,0.000473823614421,0,0,0
2020-02-29,0,0,0.000473823614421,0.000473823614421,0,0,0
2020-03-01,1,0,0.000947647228843,0.000947647228843,0.000473823614421,0,0
2020-03-02,0,0,0.000947647228843,0.000947647228843,0,0,0
2020-03-03,0,0,0.000947647228843,0.000947647228843,0,0.000135378175549,0
2020-03-04,0,0,0.000947647228843,0.000947647228843,0,6.76890877744708E-05,0
2020-03-05,1,0,0.001421470843264,0.001421470843264,0.000473823614421,0.000135378175549,0
2020-03-06,5,0,0.00379058891537,0.00379058891537,0.002369118072106,0.000473823614421,0
2020-03-07,5,0,0.006159706987477,0.006159706987477,0.002369118072106,0.000812269053294,0
2020-03-08,0,0,0.006159706987477,0.006159706987477,0,0.000744579965519,0
2020-03-09,12,0,0.011845590360532,0.011845590360532,0.005685883373056,0.001556849018813,0
2020-03-10,0,0,0.011845590360532,0.011845590360532,0,0.001556849018813,0
2020-03-11,9,0,0.016110002890324,0.016110002890324,0.004264412529792,0.002166050808783,0
2020-03-12,18,0,0.024638827949907,0.024638827949907,0.008528825059583,0.003316765300949,0
2020-03-13,25,0,0.03648441831044,0.03648441831044,0.011845590360532,0.004670547056438,0
2020-03-14,21,0,0.046434714213287,0.046434714213287,0.009950295902847,0.00575357246083,0
2020-03-15,23,0,0.057332657344977,0.057332657344977,0.01089794313169,0.007310421479643,0
2020-03-16,79,0,0.094764722884259,0.094290899269838,0.037432065539282,0.011845590360532,0
2020-03-17,34,0,0.110874725774583,0.109927078545741,0.016110002890324,0.014147019344864,0
2020-03-18,57,1,0.137882671796597,0.136461200953333,0.027007946022014,0.017396095558039,0.003436426116838
2020-03-19,137,3,0.202796506972314,0.199953565285787,0.064913835175718,0.025451097003201,0.009345794392523
2020-03-20,193,2,0.294244464555624,0.290453875640254,0.09144795758331,0.036822863749312,0.009661835748792
2020-03-21,283,5,0.428336547436851,0.422176840449374,0.134092082881227,0.054557404746224,0.01216814159292
2020-03-22,224,7,0.534473037067221,0.524996564778795,0.10613648963037,0.068162911388892,0.015957446808511
2020-03-23,418,7,0.732531307895323,0.719738070305948,0.198058270828102,0.091109512144438,0.016170763260026
2020-03-24,345,9,0.89600045487067,0.878942804751503,0.163469146975347,0.112160818442298,0.017979904812269
2020-03-25,310,12,1.04288577534127,1.02014224184905,0.146885320470602,0.129286157649239,0.020899591094957
2020-03-26,232,11,1.15281285388701,1.12296196617847,0.109927078545741,0.135716620987814,0.023427866831073
2020-03-27,482,20,1.38119583603808,1.34186847604111,0.228382982151064,0.155278767354636,0.026415094339623
2020-03-28,502,15,1.61905529047757,1.57262057626428,0.23785945443949,0.170102677577245,0.026924202516828
2020-03-29,487,22,1.84980739070074,1.79294855697018,0.230752100223171,0.187904907661931,0.029200819672131
2020-03-30,352,22,2.01659330297703,1.89529445768518,0.166785912276296,0.183437427868816,0.031954887218045
2020-03-31,323,23,2.16963833043511,2.03412477671062,0.153045027458078,0.181948267937777,0.0347237388076
2020-04-01,1138,42,2.70884960364655,2.55343545811636,0.539211273211434,0.237994832615039,0.035158299807591
2020-04-02,1119,40,3.23905822818398,3.06469113807694,0.53020862453743,0.298035053470995,0.035254534815682
2020-04-03,1074,58,3.74794479007245,3.54609593032898,0.508886561888471,0.338106993433482,0.037800252844501
2020-04-04,1146,60,4.29094665219925,4.0606683755905,0.543001862126805,0.381698765960241,0.03964222614841
2020-04-05,1222,73,4.86995910902208,4.60509170856057,0.579012456822823,0.431450245474477,0.042031523642732
2020-04-06,852,54,5.27365682850902,4.98320295286877,0.403697719486944,0.465294789361712,0.04366576819407
2020-04-07,926,67,5.71241749546314,5.39021743765666,0.43876066695412,0.506111309289718,0.045869276708693
2020-04-08,1661,114,6.49943851901691,6.1232225691664,0.787021023553772,0.541512702195766,0.048625792811839
2020-04-09,2210,133,7.54658870688797,7.08555833005605,1.04715018787106,0.615361496957714,0.050229170590821
2020-04-10,1930,141,8.46106828272107,7.93322877625575,0.9144795758331,0.673303356092661,0.052696421571373
2020-04-11,1781,115,9.3049481400054,8.72261891788163,0.843879857284327,0.71628592682945,0.053773296669722
2020-04-12,1089,68,9.82094205611019,9.20639282820577,0.515993916104791,0.707283278155445,0.054228783712066
2020-04-13,1442,99,10.5041957081057,9.84273794237357,0.683253651995508,0.747219839942383,0.05516712526501
2020-04-14,1261,105,11.101687285891,9.02918279641221,0.597491577785254,0.769895684346831,0.056679470763978
2020-04-15,1832,204,11.9697321475108,4.59798435434425,0.868044861619813,0.781470518356265,0.060644446203784
2020-04-16,3058,204,13.4186847604111,5.95027694990263,1.44895261290032,0.838870864789016,0.061299435028249
2020-04-17,2105,188,14.4160834687679,6.85859681874825,0.997398708356827,0.850716455149549,0.063237469186524
2020-04-18,3257,217,15.9593269809381,8.29902060658899,1.54324351217016,0.950625548704668,0.063565108960276
2020-04-19,2917,206,17.341470464205,5.74368985401494,1.38214348326692,1.0743612011564,0.064127435175825
2020-04-20,2055,115,18.3151779918408,6.66290766599226,0.973707527635762,1.11585461196215,0.063693278832721
2020-04-21,1927,113,19.2282360968306,7.11446157053575,0.913058104989836,1.16093554441995,0.063453340233114
2020-04-22,2498,166,20.411847485655,7.11683068860786,1.1836113888244,1.20601647687775,0.063627289398547
2020-04-23,2678,165,21.6807471250752,7.71290079554985,1.26889963942023,1.18029462352345,0.06350940839653
2020-04-24,3735,407,23.4504783249388,8.77710863354008,1.76973119986354,1.29062783659583,0.066940111533177
