date,newcases,newdeaths,totalcases,prevalence,incidence,incidence7d,deathrate
2020-03-15,1,0,0.006022645145748,0.006022645145748,0.006022645145748,0,0
2020-03-16,0,1,0.006022645145748,0,0,0,1
2020-03-17,5,0,0.036135870874488,0.03011322572874,0.03011322572874,0,0.166666666666667
2020-03-18,0,0,0.036135870874488,0.03011322572874,0,0,0.166666666666667
2020-03-19,2,0,0.048181161165984,0.042158516020236,0.012045290291496,0,0.125
2020-03-20,1,0,0.054203806311732,0.048181161165984,0.006022645145748,0,0.111111111111111
2020-03-21,4,0,0.078294386894724,0.072271741748976,0.024090580582992,0.011184912413532,0.076923076923077
2020-03-22,4,0,0.102384967477716,0.096362322331968,0.024090580582992,0.013766046047424,0.058823529411765
2020-03-23,2,0,0.114430257769212,0.108407612623464,0.012045290291496,0.015486801803352,0.052631578947369
2020-03-24,1,0,0.12045290291496,0.114430257769212,0.006022645145748,0.012045290291496,0.05
2020-03-25,1,0,0.126475548060708,0.096362322331968,0.006022645145748,0.01290566816946,0.047619047619048
2020-03-26,3,0,0.144543483497952,0.114430257769212,0.018067935437244,0.013766046047424,0.041666666666667
2020-03-27,1,0,0.1505661286437,0.12045290291496,0.006022645145748,0.013766046047424,0.04
2020-03-28,7,0,0.192724644663936,0.126475548060708,0.042158516020236,0.016347179681316,0.03125
2020-03-29,2,0,0.204769934955432,0.138520838352204,0.012045290291496,0.014626423925388,0.029411764705882
2020-03-30,2,0,0.216815225246928,0.1505661286437,0.012045290291496,0.014626423925388,0.027777777777778
2020-03-31,0,0,0.216815225246928,0.138520838352204,0,0.013766046047424,0.027777777777778
2020-04-01,2,0,0.228860515538424,0.1505661286437,0.012045290291496,0.014626423925388,0.026315789473684
2020-04-02,8,0,0.277041676704409,0.198747289809684,0.048181161165984,0.018928313315208,0.021739130434783
2020-04-03,1,0,0.283064321850157,0.204769934955432,0.006022645145748,0.018928313315208,0.021276595744681
2020-04-04,3,0,0.301132257287401,0.204769934955432,0.018067935437244,0.015486801803352,0.02
2020-04-05,11,1,0.367381353890629,0.264996386412912,0.066249096603228,0.023230202705028,0.032786885245902
2020-04-06,9,1,0.421585160202361,0.313177547578897,0.054203806311732,0.029252847850776,0.042857142857143
2020-04-07,4,0,0.445675740785353,0.325222837870393,0.024090580582992,0.032694359362632,0.040540540540541
2020-04-08,6,0,0.481811611659841,0.361358708744881,0.036135870874488,0.036135870874488,0.0375
2020-04-09,7,0,0.523970127680077,0.403517224765117,0.042158516020236,0.035275492996524,0.03448275862069
2020-04-10,39,0,0.75885328836425,0.638400385449289,0.234883160684172,0.067969852359156,0.023809523809524
2020-04-11,11,0,0.825102384967478,0.692604191761021,0.066249096603228,0.074852875382868,0.021897810218978
2020-04-12,16,0,0.921464707299446,0.78896651409299,0.096362322331968,0.079154764772688,0.019607843137255
2020-04-13,3,2,0.93953264273669,0.794989159238738,0.018067935437244,0.073992497504904,0.032051282051282
2020-04-14,11,0,1.00578173933992,0.861238255841966,0.066249096603228,0.080015142650652,0.029940119760479
2020-04-15,13,0,1.08407612623464,0.93953264273669,0.078294386894724,0.0860377877964,0.027777777777778
2020-04-16,16,0,1.18043844856661,1.03589496506866,0.096362322331968,0.093781188698076,0.025510204081633
2020-04-17,18,2,1.28884606119007,1.12021199710913,0.108407612623464,0.075713253260832,0.032710280373832
2020-04-18,21,0,1.41532160925078,1.24668754516984,0.126475548060708,0.084317032040472,0.029787234042553
2020-04-19,22,0,1.54781980245724,1.37918573837629,0.132498193206456,0.089479299308256,0.027237354085603
2020-04-20,32,0,1.74054444712118,1.57191038304023,0.192724644663936,0.114430257769212,0.024221453287197
2020-04-21,5,0,1.77065767284992,1.58395567333173,0.03011322572874,0.109267990501428,0.023809523809524
2020-04-22,22,1,1.90315586605637,1.71043122139244,0.132498193206456,0.117011391403104,0.025316455696203
2020-04-23,26,2,2.05974463984582,1.8188388340159,0.156588773789448,0.125615170182744,0.029239766081871
2020-04-24,42,1,2.31269573596724,2.06576728499157,0.252951096121417,0.14626423925388,0.028645833333333
2020-04-25,46,0,2.58973741267165,2.25246928450976,0.277041676704409,0.16777368620298,0.025581395348837
2020-04-26,43,2,2.84871115393881,2.47530715490243,0.258973741267164,0.185841621640224,0.027484143763214
2020-04-27,27,2,3.01132257287401,2.62587328354613,0.162611418935196,0.181539732250404,0.03
2020-04-28,30,0,3.19200192724645,2.80655263791857,0.18067935437244,0.203049179199504,0.028301886792453
2020-04-29,27,1,3.35461334618164,2.8848470248133,0.162611418935196,0.207351068589324,0.028725314183124
2020-04-30,28,0,3.52324741026259,3.02939050831125,0.168634064080944,0.209071824345252,0.027350427350427
2020-05-01,14,0,3.60756444230306,3.07757166947723,0.084317032040472,0.18498124376226,0.026711185308848
2020-05-02,45,0,3.87858347386172,3.3485907010359,0.271019031558661,0.184120865884296,0.024844720496894
2020-05-03,44,1,4.14357986027463,3.60756444230306,0.264996386412912,0.18498124376226,0.024709302325581
2020-05-04,15,0,4.23391953746085,3.65574560346904,0.09033967718622,0.174656709226692,0.024182076813656
2020-05-05,27,2,4.39653095639605,3.80631173211274,0.162611418935196,0.1720755755928,0.026027397260274
2020-05-06,33,0,4.59527824620573,3.96290050590219,0.198747289809684,0.177237842860584,0.024901703800786
2020-05-07,35,2,4.80607082630691,4.13755721512888,0.21079258010118,0.183260488006332,0.026315789473684
2020-05-08,34,2,5.01084076126235,4.26403276318959,0.204769934955432,0.200468045565612,0.027644230769231
2020-05-09,68,1,5.42038063117321,4.64948205251747,0.409539869910865,0.220256736758784,0.026666666666667
2020-05-10,67,0,5.82389785593833,5.01686340640809,0.403517224765117,0.240045427951956,0.024819027921407
2020-05-11,85,2,6.33582269332691,5.51072030835943,0.511924837388581,0.300271879409437,0.024714828897338
2020-05-12,62,0,6.70922669236329,5.82992050108408,0.373403999036377,0.330385105138177,0.023339317773788
2020-05-13,85,1,7.22115152975187,6.32980004818116,0.511924837388581,0.375124754792305,0.022518765638032
2020-05-14,143,2,8.08238978559383,7.13081185256565,0.861238255841966,0.468045565612417,0.021609538002981
2020-05-15,176,0,9.14237533124548,8.15466152734281,1.05998554565165,0.590219224283305,0.019104084321476
2020-05-16,125,1,9.89520597446398,8.88340158997832,0.752830643218502,0.639260763327253,0.018259281801583
2020-05-17,120,3,10.6179233919537,9.58805107203084,0.722717417489761,0.684860790859345,0.018718094157686
2020-05-18,149,2,11.5152975186702,10.4733799084558,0.897374126716454,0.739924975049042,0.018305439330544
2020-05-19,89,3,12.0513129366418,10.8889424235124,0.536015417971573,0.76315517775407,0.018990504747626
2020-05-20,132,5,12.8463020958805,11.6297277764394,0.794989159238738,0.803592938018377,0.020159399906235
