date,newcases,newdeaths,totalcases,prevalence,incidence,incidence7d,deathrate
2020-03-12,4,0,0.008622378992749,0.005486968449931,0.003135410542818,0,0
2020-03-13,5,0,0.012541642171272,0.009406231628454,0.003919263178522,0,0
2020-03-14,10,0,0.020380168528317,0.017244757985499,0.007838526357045,0,0
2020-03-15,15,0,0.032137958063884,0.029002547521066,0.011757789535567,0,0
2020-03-16,12,0,0.041544189692338,0.03840877914952,0.009406231628454,0,0
2020-03-17,29,0,0.064275916127768,0.06114050558495,0.02273172643543,0,0
2020-03-18,11,0,0.072898295120517,0.069762884577699,0.008622378992749,0.009630189524369,0
2020-03-19,25,0,0.09249461101313,0.089359200470312,0.019596315892612,0.011981747431483,0
2020-03-20,46,0,0.128551832255536,0.125416421712718,0.036057221242407,0.016572884297752,0
2020-03-21,39,2,0.159122085048011,0.154418969233784,0.030570252792475,0.019820273788528,0.009852216748768
2020-03-22,48,0,0.196747011561826,0.192043895747599,0.037624926513815,0.023515579071135,0.00796812749004
2020-03-23,65,0,0.247697432882618,0.242994317068391,0.050950421320792,0.029450463312897,0.006329113924051
2020-03-24,51,2,0.287673917303547,0.281403096217911,0.039976484420929,0.031914000167969,0.010899182561308
2020-03-25,38,1,0.317460317460317,0.310405643738977,0.029786400156771,0.034937431762829,0.012345679012346
2020-03-26,70,0,0.372330001959632,0.365275328238291,0.054869684499314,0.039976484420929,0.010526315789474
2020-03-27,110,3,0.458553791887125,0.449147560258671,0.086223789927494,0.047143137090227,0.013675213675214
2020-03-28,132,4,0.562022339800118,0.549480697628846,0.103468547912992,0.057557179250301,0.01673640167364
2020-03-29,131,4,0.664707035077405,0.649029982363316,0.102684695277288,0.066851431930797,0.018867924528302
2020-03-30,145,4,0.778365667254556,0.735253772290809,0.113658632177151,0.07580974776742,0.020140986908359
2020-03-31,101,8,0.857534783460709,0.808152067411327,0.079169116206153,0.081408695165309,0.025594149908592
2020-04-01,121,1,0.952380952380952,0.902214383695865,0.094846168920243,0.090702947845805,0.023868312757202
2020-04-02,163,8,1.08014893200078,1.02371154223006,0.127767979619831,0.101116990005879,0.026850507982584
2020-04-03,132,13,1.18361747991378,0.648246129727611,0.103468547912992,0.10358052686095,0.033112582781457
2020-04-04,178,10,1.32314324906918,0.779933372525965,0.139525769155399,0.108731558467008,0.035545023696683
2020-04-05,202,19,1.48148148148148,0.923378404859886,0.158338232412307,0.116682063772011,0.041798941798942
2020-04-06,253,15,1.67979619831472,1.10993533215755,0.198314716833235,0.128775790151452,0.043863742417172
2020-04-07,296,31,1.91181657848325,1.31765628061924,0.232020380168528,0.150611685003219,0.051250512505125
2020-04-08,346,16,2.183029590437,1.57632765040172,0.271213011953753,0.175806948293721,0.050628366247756
2020-04-09,396,33,2.49343523417597,1.86086615716245,0.310405643738977,0.201898043167884,0.054699779943414
2020-04-10,260,20,2.69723691945914,2.04899078973153,0.203801685283167,0.216231348506481,0.056378959604766
2020-04-11,403,39,3.01312953164805,2.33431314912796,0.315892612188908,0.241426611796982,0.060613943808533
2020-04-12,375,40,3.30707427003723,1.70409563002156,0.293944738389183,0.260798969793679,0.064707276605831
2020-04-13,442,23,3.65353713501862,1.97687634724672,0.346462864981383,0.2819629909577,0.06350568547522
2020-04-14,353,36,3.9302371154223,2.1305114638448,0.276699980403684,0.288345790991294,0.066214599122457
2020-04-15,385,74,4.23202038016853,2.24808935920047,0.301783264746228,0.292712969961647,0.075199110946472
2020-04-16,448,43,4.58318636096414,2.56554967666079,0.35116598079561,0.298535875255452,0.076791517017274
2020-04-17,450,37,4.93592004703116,2.88928081520674,0.352733686067019,0.319811875367431,0.07717960933778
2020-04-18,578,60,5.38898687046835,3.29531648050167,0.453066823437194,0.339408191260043,0.079418181818182
2020-04-19,622,104,5.87654320987654,3.30785812267294,0.487556339408191,0.367066991405616,0.086701347205549
2020-04-20,764,36,6.47540662355477,3.8785028414658,0.598863413678228,0.403124212648022,0.083040794092725
2020-04-21,511,26,6.87595532039977,4.25867136978248,0.400548696844993,0.420816886425352,0.081167350661195
2020-04-22,729,145,7.44738389182834,4.7164413090339,0.571428571428571,0.45933764452283,0.090201031470372
